,outname,pyearnm,area,outcome,stname,pyear,agegrp,est_total,low_total,up_total,group,nsel,ncomp,wtintrr,pop,BSAE,low_sae,up_sae,ste_total,ste_sae,state,gen_corr,year,BSAE_perc
47422,serious mental illness in the past year,2008-2009,2.0,SMIYR,Idaho,9.0,4.0,52.0,41.0,65.0,5.0,1579.0,1260.0,0.7656,1094705.0,0.047488,0.037844,0.059436,6.0,0.005552,16.0,0.21516885402182587,2009,4.7488
47542,serious mental illness in the past year,2008-2009,2.0,SMIYR,Illinois,9.0,4.0,345.0,293.0,406.0,3.0,6910.0,4986.0,0.6878,9529654.0,0.036211,0.030754,0.042594,29.0,0.003054,17.0,0.16057949842407632,2009,3.6211
47662,serious mental illness in the past year,2008-2009,2.0,SMIYR,Indiana,9.0,4.0,222.0,173.0,283.0,5.0,1545.0,1209.0,0.7769,4713814.0,0.047081,0.036785,0.060079,28.0,0.00598,18.0,0.22061389218427804,2009,4.7081
47782,serious mental illness in the past year,2008-2009,2.0,SMIYR,Iowa,9.0,4.0,86.0,68.0,108.0,3.0,1561.0,1267.0,0.8062,2245281.0,0.038268,0.030327,0.048185,10.0,0.0046,19.0,0.22367296343563597,2009,3.8268000000000004
47902,serious mental illness in the past year,2008-2009,2.0,SMIYR,Kansas,9.0,4.0,72.0,55.0,93.0,2.0,1581.0,1231.0,0.7542,2045557.0,0.035071,0.027073,0.04532,9.0,0.00464,20.0,0.23817467151675425,2009,3.5071
48022,serious mental illness in the past year,2008-2009,2.0,SMIYR,Kentucky,9.0,4.0,134.0,104.0,172.0,4.0,1547.0,1215.0,0.7381,3200419.0,0.041823,0.032493,0.053683,17.0,0.005462,21.0,0.21232105507718538,2009,4.1823
48142,serious mental illness in the past year,2008-2009,2.0,SMIYR,Louisiana,9.0,4.0,116.0,92.0,147.0,3.0,1559.0,1244.0,0.7828,3239922.0,0.035885,0.028359,0.045314,14.0,0.004331,22.0,0.23904991588609745,2009,3.5885
48262,serious mental illness in the past year,2008-2009,2.0,SMIYR,Maine,9.0,4.0,41.0,32.0,53.0,4.0,1534.0,1256.0,0.7902,1027979.0,0.039996,0.031016,0.051439,5.0,0.005233,23.0,0.22437557786715462,2009,3.9995999999999996
48382,serious mental illness in the past year,2008-2009,2.0,SMIYR,Maryland,9.0,4.0,138.0,107.0,179.0,1.0,1431.0,1116.0,0.7513,4223209.0,0.032764,0.025239,0.042435,18.0,0.004363,24.0,0.25743010617770623,2009,3.2764
48502,serious mental illness in the past year,2008-2009,2.0,SMIYR,Massachusetts,9.0,4.0,187.0,145.0,241.0,3.0,1648.0,1277.0,0.7439,5021415.0,0.037301,0.028889,0.048041,25.0,0.0049,25.0,0.23319600809322524,2009,3.7301
48622,serious mental illness in the past year,2008-2009,2.0,SMIYR,Michigan,9.0,4.0,298.0,256.0,348.0,4.0,6273.0,4879.0,0.7495,7489772.0,0.039841,0.034129,0.046462,24.0,0.003187,26.0,0.13566292555546253,2009,3.9841
48742,serious mental illness in the past year,2008-2009,2.0,SMIYR,Minnesota,9.0,4.0,171.0,134.0,217.0,5.0,1507.0,1198.0,0.7731,3918474.0,0.043651,0.034299,0.055406,21.0,0.00546,27.0,0.21893876557312167,2009,4.3651
48862,serious mental illness in the past year,2008-2009,2.0,SMIYR,Mississippi,9.0,4.0,72.0,55.0,94.0,2.0,1534.0,1230.0,0.7685,2109559.0,0.034298,0.026306,0.044608,10.0,0.004617,28.0,0.23160443449876858,2009,3.4298
48982,serious mental illness in the past year,2008-2009,2.0,SMIYR,Missouri,9.0,4.0,181.0,142.0,230.0,4.0,1511.0,1182.0,0.75,4413180.0,0.040949,0.032065,0.052162,23.0,0.005134,29.0,0.2422167171968243,2009,4.0949
49102,serious mental illness in the past year,2008-2009,2.0,SMIYR,Montana,9.0,4.0,29.0,23.0,37.0,4.0,1525.0,1215.0,0.7566,735095.0,0.039541,0.030733,0.050742,4.0,0.00516,30.0,0.22829468247778853,2009,3.9541
49222,serious mental illness in the past year,2008-2009,2.0,SMIYR,Nebraska,9.0,4.0,47.0,37.0,59.0,2.0,1546.0,1210.0,0.767,1309473.0,0.035728,0.028065,0.045386,6.0,0.004442,31.0,0.2505937682839124,2009,3.5728000000000004
49342,serious mental illness in the past year,2008-2009,2.0,SMIYR,Nevada,9.0,4.0,84.0,64.0,109.0,5.0,1543.0,1185.0,0.7165,1915689.0,0.043683,0.033426,0.056901,12.0,0.006038,32.0,0.25277321723044993,2009,4.3683
49462,serious mental illness in the past year,2008-2009,2.0,SMIYR,New Hampshire,9.0,4.0,38.0,30.0,48.0,3.0,1580.0,1236.0,0.7605,1013794.0,0.037511,0.029382,0.04778,5.0,0.004694,33.0,0.22874288653980646,2009,3.7511
49582,serious mental illness in the past year,2008-2009,2.0,SMIYR,New Jersey,9.0,4.0,219.0,169.0,284.0,1.0,1684.0,1274.0,0.7178,6530487.0,0.033525,0.025805,0.043452,30.0,0.004524,34.0,0.2703373337497397,2009,3.3525
49702,serious mental illness in the past year,2008-2009,2.0,SMIYR,New Mexico,9.0,4.0,50.0,39.0,65.0,2.0,1526.0,1208.0,0.7721,1458739.0,0.034499,0.026536,0.044743,7.0,0.00467,35.0,0.23190124953934346,2009,3.4499000000000004
49822,serious mental illness in the past year,2008-2009,2.0,SMIYR,New York,9.0,4.0,570.0,486.0,669.0,3.0,7071.0,4919.0,0.6749,14837440.0,0.038422,0.032724,0.045066,47.0,0.003186,36.0,0.14890600910634239,2009,3.8421999999999996
49942,serious mental illness in the past year,2008-2009,2.0,SMIYR,North Carolina,9.0,4.0,248.0,190.0,322.0,3.0,1512.0,1216.0,0.7777,6826409.0,0.03632,0.02789,0.047173,34.0,0.004922,37.0,0.229116299042888,2009,3.6319999999999997
50062,serious mental illness in the past year,2008-2009,2.0,SMIYR,North Dakota,9.0,4.0,16.0,12.0,20.0,1.0,1575.0,1240.0,0.7689,483818.0,0.032544,0.025531,0.041401,2.0,0.004013,38.0,0.2935802420268876,2009,3.2543999999999995
50182,serious mental illness in the past year,2008-2009,2.0,SMIYR,Ohio,9.0,4.0,353.0,300.0,415.0,4.0,6142.0,4804.0,0.7322,8614515.0,0.041008,0.034867,0.048176,30.0,0.003426,39.0,0.13158134070311764,2009,4.1008000000000004
50302,serious mental illness in the past year,2008-2009,2.0,SMIYR,Oklahoma,9.0,4.0,106.0,82.0,136.0,4.0,1552.0,1220.0,0.7588,2663075.0,0.039656,0.030634,0.051193,14.0,0.005244,40.0,0.24330380018119738,2009,3.9656
50422,serious mental illness in the past year,2008-2009,2.0,SMIYR,Oregon,9.0,4.0,122.0,95.0,158.0,5.0,1624.0,1310.0,0.752,2894334.0,0.042324,0.032813,0.054436,16.0,0.005537,41.0,0.21723169259875405,2009,4.2324
50542,serious mental illness in the past year,2008-2009,2.0,SMIYR,Pennsylvania,9.0,4.0,316.0,265.0,376.0,1.0,5212.0,3873.0,0.718,9535498.0,0.033143,0.027807,0.039461,29.0,0.002997,42.0,0.15638265752961955,2009,3.3143
50662,serious mental illness in the past year,2008-2009,2.0,SMIYR,Rhode Island,9.0,4.0,43.0,33.0,57.0,5.0,1534.0,1178.0,0.7589,807061.0,0.053752,0.040981,0.070211,6.0,0.007551,44.0,0.25229888739095535,2009,5.3752
50782,serious mental illness in the past year,2008-2009,2.0,SMIYR,South Carolina,9.0,4.0,119.0,92.0,155.0,2.0,1510.0,1239.0,0.7856,3342434.0,0.035734,0.027504,0.04631,16.0,0.004799,45.0,0.25311586428743665,2009,3.5734000000000004
50902,serious mental illness in the past year,2008-2009,2.0,SMIYR,South Dakota,9.0,4.0,19.0,15.0,24.0,1.0,1584.0,1302.0,0.7871,591530.0,0.031872,0.02468,0.041071,2.0,0.00416,46.0,0.27633113301655765,2009,3.1872
51022,serious mental illness in the past year,2008-2009,2.0,SMIYR,Tennessee,9.0,4.0,178.0,137.0,230.0,3.0,1643.0,1272.0,0.7305,4672365.0,0.038035,0.029357,0.049149,23.0,0.005023,47.0,0.23777926075159378,2009,3.8035
51142,serious mental illness in the past year,2008-2009,2.0,SMIYR,Texas,9.0,4.0,574.0,483.0,682.0,1.0,6095.0,4835.0,0.76,17260426.0,0.033257,0.027977,0.039493,51.0,0.002953,48.0,0.1749206893566841,2009,3.3257000000000003
51262,serious mental illness in the past year,2008-2009,2.0,SMIYR,Utah,9.0,4.0,87.0,70.0,108.0,5.0,1521.0,1224.0,0.782,1876292.0,0.046427,0.037191,0.057818,10.0,0.005283,49.0,0.20408647238313588,2009,4.6427000000000005
51382,serious mental illness in the past year,2008-2009,2.0,SMIYR,Vermont,9.0,4.0,18.0,14.0,24.0,3.0,1520.0,1219.0,0.764,487763.0,0.037794,0.029017,0.04909,3.0,0.005126,50.0,0.21695084466873163,2009,3.7794000000000003
51502,serious mental illness in the past year,2008-2009,2.0,SMIYR,Virginia,9.0,4.0,192.0,148.0,249.0,1.0,1569.0,1240.0,0.7558,5764657.0,0.033351,0.02571,0.043162,26.0,0.004459,51.0,0.24139891847063769,2009,3.3350999999999997
51622,serious mental illness in the past year,2008-2009,2.0,SMIYR,Washington,9.0,4.0,187.0,147.0,238.0,3.0,1602.0,1216.0,0.7416,4947930.0,0.037794,0.029625,0.048102,23.0,0.004706,53.0,0.22847426764504528,2009,3.7794000000000003
51742,serious mental illness in the past year,2008-2009,2.0,SMIYR,West Virginia,9.0,4.0,68.0,53.0,88.0,5.0,1555.0,1192.0,0.7395,1406225.0,0.048719,0.037838,0.062527,9.0,0.00633,54.0,0.19025370683486648,2009,4.8719
51862,serious mental illness in the past year,2008-2009,2.0,SMIYR,Wisconsin,9.0,4.0,175.0,137.0,222.0,4.0,1585.0,1236.0,0.7588,4247553.0,0.041169,0.03236,0.052246,22.0,0.005087,55.0,0.23741087655415857,2009,4.116899999999999
51982,serious mental illness in the past year,2008-2009,2.0,SMIYR,Wyoming,9.0,4.0,17.0,13.0,21.0,4.0,1654.0,1272.0,0.7456,399196.0,0.041989,0.032699,0.053773,2.0,0.0055,56.0,0.23157030550933785,2009,4.1989
52102,serious mental illness in the past year,2009-2010,0.0,SMIYR,National,10.0,4.0,8857.0,8391.0,9350.0,,117717.0,91403.0,0.7397,228239562.0,0.038811,0.036766,0.040964,244.0,0.001069,-5.0,0.0,2010,3.8811
52222,serious mental illness in the past year,2009-2010,1.0,SMIYR,Northeast,10.0,4.0,1579.0,1429.0,1743.0,,23538.0,17680.0,0.7186,42190250.0,0.037418,0.033876,0.041315,81.0,0.001926,-4.0,0.12511248525220897,2010,3.7418
52342,serious mental illness in the past year,2009-2010,1.0,SMIYR,Midwest,10.0,4.0,2100.0,1939.0,2275.0,,33158.0,25772.0,0.7431,49883820.0,0.042106,0.038866,0.045603,87.0,0.001741,-3.0,0.10495606153730085,2010,4.2105999999999995
52462,serious mental illness in the past year,2009-2010,1.0,SMIYR,South,10.0,4.0,3159.0,2904.0,3437.0,,35269.0,28069.0,0.7576,83522600.0,0.037825,0.034764,0.041145,138.0,0.001647,-2.0,0.1301164934686291,2010,3.7824999999999998
52582,serious mental illness in the past year,2009-2010,1.0,SMIYR,West,10.0,4.0,2020.0,1829.0,2229.0,,25752.0,19882.0,0.7257,52642893.0,0.038366,0.034752,0.042338,103.0,0.001966,-1.0,0.1170429354473513,2010,3.8366
52702,serious mental illness in the past year,2009-2010,2.0,SMIYR,Alabama,10.0,4.0,175.0,136.0,225.0,5.0,1536.0,1189.0,0.7432,3508919.0,0.050013,0.038808,0.064237,23.0,0.006597,1.0,0.23253980558243703,2010,5.0013000000000005
52822,serious mental illness in the past year,2009-2010,2.0,SMIYR,Alaska,10.0,4.0,20.0,15.0,26.0,3.0,1507.0,1202.0,0.7764,496232.0,0.040733,0.031123,0.053148,3.0,0.005683,2.0,0.23176729791971265,2010,4.0733
52942,serious mental illness in the past year,2009-2010,2.0,SMIYR,Arizona,10.0,4.0,210.0,161.0,273.0,4.0,1583.0,1249.0,0.7488,4810127.0,0.04365,0.033509,0.056681,29.0,0.006036,4.0,0.2309586521646415,2010,4.365
53062,serious mental illness in the past year,2009-2010,2.0,SMIYR,Arkansas,10.0,4.0,105.0,82.0,135.0,5.0,1574.0,1223.0,0.7505,2135297.0,0.049374,0.038528,0.063074,14.0,0.00635,5.0,0.2111778777889216,2010,4.9374
53182,serious mental illness in the past year,2009-2010,2.0,SMIYR,California,10.0,4.0,879.0,735.0,1050.0,1.0,6568.0,4903.0,0.7046,27098973.0,0.032441,0.027127,0.038754,81.0,0.00299,6.0,0.15611039996387777,2010,3.2440999999999995
53302,serious mental illness in the past year,2009-2010,2.0,SMIYR,Colorado,10.0,4.0,171.0,132.0,219.0,4.0,1635.0,1292.0,0.776,3742471.0,0.04559,0.035387,0.058556,22.0,0.00596,8.0,0.24201488761442638,2010,4.559
53422,serious mental illness in the past year,2009-2010,2.0,SMIYR,Connecticut,10.0,4.0,99.0,76.0,129.0,2.0,1600.0,1245.0,0.7468,2660265.0,0.037303,0.028516,0.048662,14.0,0.005199,9.0,0.25034292530610713,2010,3.7303
53542,serious mental illness in the past year,2009-2010,2.0,SMIYR,Delaware,10.0,4.0,26.0,20.0,34.0,2.0,1551.0,1231.0,0.7466,666864.0,0.039262,0.030075,0.051106,4.0,0.005377,10.0,0.2672881282902733,2010,3.9261999999999997
53662,serious mental illness in the past year,2009-2010,2.0,SMIYR,District of Columbia,10.0,4.0,17.0,13.0,22.0,1.0,1508.0,1247.0,0.8199,479433.0,0.03453,0.026424,0.045007,2.0,0.004761,11.0,0.2430064091366167,2010,3.453
53782,serious mental illness in the past year,2009-2010,2.0,SMIYR,Florida,10.0,4.0,515.0,431.0,614.0,2.0,6131.0,4962.0,0.7626,14211566.0,0.036221,0.030337,0.043195,47.0,0.00331,12.0,0.13554889366163003,2010,3.6221000000000005
53902,serious mental illness in the past year,2009-2010,2.0,SMIYR,Georgia,10.0,4.0,255.0,194.0,334.0,2.0,1498.0,1198.0,0.7572,7073609.0,0.036015,0.027359,0.047277,36.0,0.005043,13.0,0.25722478827375855,2010,3.6014999999999997
54022,serious mental illness in the past year,2009-2010,2.0,SMIYR,Hawaii,10.0,4.0,35.0,27.0,47.0,2.0,1826.0,1285.0,0.6566,958884.0,0.036765,0.027671,0.048698,5.0,0.005412,15.0,0.18878194838536536,2010,3.6765
54142,serious mental illness in the past year,2009-2010,2.0,SMIYR,Idaho,10.0,4.0,57.0,44.0,72.0,5.0,1548.0,1250.0,0.7682,1110933.0,0.051044,0.040052,0.064849,7.0,0.006418,16.0,0.21516885402182587,2010,5.1044
54262,serious mental illness in the past year,2009-2010,2.0,SMIYR,Illinois,10.0,4.0,373.0,319.0,436.0,2.0,6785.0,4965.0,0.6994,9557601.0,0.039028,0.033327,0.045658,30.0,0.003179,17.0,0.16057949842407632,2010,3.9028
54382,serious mental illness in the past year,2009-2010,2.0,SMIYR,Indiana,10.0,4.0,227.0,178.0,288.0,5.0,1540.0,1194.0,0.7529,4748179.0,0.047819,0.037557,0.060708,29.0,0.006012,18.0,0.22061389218427804,2010,4.7819
54502,serious mental illness in the past year,2009-2010,2.0,SMIYR,Iowa,10.0,4.0,99.0,77.0,125.0,4.0,1537.0,1260.0,0.7964,2258273.0,0.043648,0.03423,0.055507,12.0,0.005513,19.0,0.22367296343563597,2010,4.3648
54622,serious mental illness in the past year,2009-2010,2.0,SMIYR,Kansas,10.0,4.0,73.0,56.0,94.0,1.0,1555.0,1195.0,0.7397,2061492.0,0.035324,0.027195,0.045769,10.0,0.004742,20.0,0.23817467151675425,2010,3.5324
54742,serious mental illness in the past year,2009-2010,2.0,SMIYR,Kentucky,10.0,4.0,133.0,104.0,171.0,3.0,1568.0,1246.0,0.7577,3228005.0,0.041335,0.032182,0.052948,17.0,0.005322,21.0,0.21232105507718538,2010,4.1335
54862,serious mental illness in the past year,2009-2010,2.0,SMIYR,Louisiana,10.0,4.0,128.0,99.0,165.0,2.0,1535.0,1217.0,0.7768,3283417.0,0.039078,0.030285,0.050292,17.0,0.005136,22.0,0.23904991588609745,2010,3.9078
54982,serious mental illness in the past year,2009-2010,2.0,SMIYR,Maine,10.0,4.0,43.0,33.0,55.0,3.0,1528.0,1267.0,0.8101,1031739.0,0.041409,0.032133,0.053215,6.0,0.005438,23.0,0.22437557786715462,2010,4.1409
55102,serious mental illness in the past year,2009-2010,2.0,SMIYR,Maryland,10.0,4.0,144.0,108.0,190.0,1.0,1468.0,1174.0,0.777,4269848.0,0.033659,0.025395,0.04449,21.0,0.004892,24.0,0.25743010617770623,2010,3.3659000000000003
55222,serious mental illness in the past year,2009-2010,2.0,SMIYR,Massachusetts,10.0,4.0,214.0,167.0,274.0,4.0,1677.0,1315.0,0.755,5090630.0,0.042018,0.032725,0.053803,28.0,0.005488,25.0,0.23319600809322524,2010,4.2018
55342,serious mental illness in the past year,2009-2010,2.0,SMIYR,Michigan,10.0,4.0,306.0,261.0,358.0,3.0,6196.0,4874.0,0.7536,7496526.0,0.040826,0.034847,0.04778,25.0,0.00334,26.0,0.13566292555546253,2010,4.0826
55462,serious mental illness in the past year,2009-2010,2.0,SMIYR,Minnesota,10.0,4.0,166.0,129.0,212.0,4.0,1589.0,1268.0,0.7708,3955740.0,0.041843,0.032588,0.053581,21.0,0.00539,27.0,0.21893876557312167,2010,4.1842999999999995
55582,serious mental illness in the past year,2009-2010,2.0,SMIYR,Mississippi,10.0,4.0,86.0,66.0,111.0,3.0,1544.0,1239.0,0.7601,2120743.0,0.040379,0.031137,0.052216,11.0,0.005369,28.0,0.23160443449876858,2010,4.0379
55702,serious mental illness in the past year,2009-2010,2.0,SMIYR,Missouri,10.0,4.0,214.0,167.0,273.0,5.0,1539.0,1216.0,0.7487,4463257.0,0.047859,0.037386,0.061081,27.0,0.006123,29.0,0.2422167171968243,2010,4.7859
55822,serious mental illness in the past year,2009-2010,2.0,SMIYR,Montana,10.0,4.0,35.0,27.0,45.0,5.0,1558.0,1231.0,0.7552,743513.0,0.047588,0.03697,0.061061,5.0,0.006227,30.0,0.22829468247778853,2010,4.7588
55942,serious mental illness in the past year,2009-2010,2.0,SMIYR,Nebraska,10.0,4.0,55.0,43.0,69.0,3.0,1572.0,1227.0,0.7462,1320707.0,0.041343,0.032596,0.052311,7.0,0.005106,31.0,0.2505937682839124,2010,4.1343
56062,serious mental illness in the past year,2009-2010,2.0,SMIYR,Nevada,10.0,4.0,94.0,72.0,123.0,5.0,1671.0,1312.0,0.7036,1937426.0,0.048709,0.037213,0.063522,13.0,0.006784,32.0,0.25277321723044993,2010,4.870900000000001
56182,serious mental illness in the past year,2009-2010,2.0,SMIYR,New Hampshire,10.0,4.0,43.0,34.0,56.0,4.0,1663.0,1285.0,0.7346,1023798.0,0.042453,0.032749,0.054869,6.0,0.005672,33.0,0.22874288653980646,2010,4.245299999999999
56302,serious mental illness in the past year,2009-2010,2.0,SMIYR,New Jersey,10.0,4.0,222.0,168.0,293.0,1.0,1597.0,1215.0,0.746,6560760.0,0.033865,0.025648,0.044595,32.0,0.004849,34.0,0.2703373337497397,2010,3.3865
56422,serious mental illness in the past year,2009-2010,2.0,SMIYR,New Mexico,10.0,4.0,50.0,38.0,65.0,1.0,1522.0,1198.0,0.7583,1473640.0,0.033788,0.025963,0.043865,7.0,0.00459,35.0,0.23190124953934346,2010,3.3788
56542,serious mental illness in the past year,2009-2010,2.0,SMIYR,New York,10.0,4.0,553.0,468.0,654.0,2.0,7165.0,4989.0,0.6758,14885232.0,0.037173,0.031419,0.043933,48.0,0.003227,36.0,0.14890600910634239,2010,3.7173
56662,serious mental illness in the past year,2009-2010,2.0,SMIYR,North Carolina,10.0,4.0,240.0,181.0,316.0,1.0,1560.0,1249.0,0.7683,6922057.0,0.034656,0.026208,0.045698,34.0,0.004942,37.0,0.229116299042888,2010,3.4656
56782,serious mental illness in the past year,2009-2010,2.0,SMIYR,North Dakota,10.0,4.0,17.0,13.0,22.0,1.0,1610.0,1258.0,0.7562,490071.0,0.034803,0.027122,0.044558,2.0,0.00446,38.0,0.2935802420268876,2010,3.4803
56902,serious mental illness in the past year,2009-2010,2.0,SMIYR,Ohio,10.0,4.0,373.0,320.0,435.0,4.0,6237.0,4914.0,0.7365,8656342.0,0.043137,0.036981,0.050265,29.0,0.003401,39.0,0.13158134070311764,2010,4.3137
57022,serious mental illness in the past year,2009-2010,2.0,SMIYR,Oklahoma,10.0,4.0,108.0,84.0,140.0,3.0,1538.0,1185.0,0.7255,2691157.0,0.040258,0.031059,0.052037,14.0,0.00535,40.0,0.24330380018119738,2010,4.0258
57142,serious mental illness in the past year,2009-2010,2.0,SMIYR,Oregon,10.0,4.0,133.0,105.0,168.0,4.0,1509.0,1200.0,0.7703,2926397.0,0.045426,0.035758,0.057552,16.0,0.005614,41.0,0.21723169259875405,2010,4.5426
57262,serious mental illness in the past year,2009-2010,2.0,SMIYR,Pennsylvania,10.0,4.0,344.0,287.0,411.0,1.0,5288.0,3957.0,0.7208,9632994.0,0.035706,0.029841,0.042672,32.0,0.003283,42.0,0.15638265752961955,2010,3.5706
57382,serious mental illness in the past year,2009-2010,2.0,SMIYR,Rhode Island,10.0,4.0,40.0,31.0,51.0,5.0,1568.0,1203.0,0.7418,813218.0,0.049157,0.038167,0.063104,5.0,0.006457,44.0,0.25229888739095535,2010,4.9157
57502,serious mental illness in the past year,2009-2010,2.0,SMIYR,South Carolina,10.0,4.0,135.0,105.0,173.0,3.0,1534.0,1238.0,0.7498,3393307.0,0.039746,0.030851,0.051071,18.0,0.005205,45.0,0.25311586428743665,2010,3.9745999999999997
57622,serious mental illness in the past year,2009-2010,2.0,SMIYR,South Dakota,10.0,4.0,22.0,17.0,28.0,2.0,1516.0,1248.0,0.8005,599159.0,0.036086,0.027742,0.04682,3.0,0.00485,46.0,0.27633113301655765,2010,3.6086
57742,serious mental illness in the past year,2009-2010,2.0,SMIYR,Tennessee,10.0,4.0,196.0,152.0,252.0,4.0,1525.0,1180.0,0.7171,4726228.0,0.041481,0.03215,0.053371,25.0,0.005373,47.0,0.23777926075159378,2010,4.1480999999999995
57862,serious mental illness in the past year,2009-2010,2.0,SMIYR,Texas,10.0,4.0,598.0,498.0,717.0,1.0,6148.0,4879.0,0.76,17558413.0,0.034044,0.028363,0.040814,56.0,0.003181,48.0,0.1749206893566841,2010,3.4044
57982,serious mental illness in the past year,2009-2010,2.0,SMIYR,Utah,10.0,4.0,98.0,77.0,123.0,5.0,1566.0,1269.0,0.7893,1907850.0,0.051172,0.040386,0.064643,12.0,0.006274,49.0,0.20408647238313588,2010,5.1172
58102,serious mental illness in the past year,2009-2010,2.0,SMIYR,Vermont,10.0,4.0,20.0,16.0,25.0,3.0,1452.0,1204.0,0.801,491614.0,0.040398,0.031608,0.051503,2.0,0.005077,50.0,0.21695084466873163,2010,4.0398000000000005
58222,serious mental illness in the past year,2009-2010,2.0,SMIYR,Virginia,10.0,4.0,228.0,178.0,292.0,2.0,1524.0,1214.0,0.759,5842396.0,0.039066,0.030409,0.050061,29.0,0.005042,51.0,0.24139891847063769,2010,3.9065999999999996
58342,serious mental illness in the past year,2009-2010,2.0,SMIYR,Washington,10.0,4.0,221.0,171.0,284.0,4.0,1630.0,1221.0,0.7242,5031007.0,0.043893,0.034074,0.056376,29.0,0.005758,53.0,0.22847426764504528,2010,4.3893
